bathrooms,bedrooms,beds,city,currency,id,is_business_travel_ready,is_fully_refundable,is_host_highly_rated,is_new_listing,is_rebookable,is_superhost,latitude,longitude,name,person_capacity,picture_count,price,price_with_service_fee,property_type_id,rate_type,reviews_count,room_and_property_type,room_type,room_type_category,space_type,tier_id,user_id
1.5,2,2,Rotterdam,EUR,23164688,false,true,true,false,false,true,51.87320174609394,4.493445133394143,ENTIRE CENTRALLY COZY CITY APARTMENT  W/ WHIRLPOOL,4,52,58,58,1,nightly,25,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,152817780
1,1,1,Delft,EUR,21482386,false,true,false,false,false,false,52.01118813669953,4.360290924996707,Zolder boven Inge's atelier in hartje centrum!,2,9,58,58,35,nightly,40,Geheel loft,Gehele woning/appartement,entire_home,Geheel loft,0,5704124
1,1,1,Den Haag,EUR,6143448,false,true,false,false,false,false,52.10168479666089,4.275702971326682,Heerlijk appartement bij de zee,2,12,60,60,1,nightly,129,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,31868065
1,1,1,Rotterdam,EUR,15970457,false,true,true,false,false,false,51.927781574313435,4.491660603550904,"Lovely, warm home near city center",3,14,51,51,1,nightly,55,Privékamer in appartement,Privékamer,private_room,Privékamer,0,103732514
1,1,1,Rotterdam,EUR,18873604,false,true,false,false,false,false,51.91633284579184,4.426992089873532,Ruim zonnig appartement,2,16,55,55,1,nightly,13,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,106047459
1,1,1,Leidschendam,EUR,20884466,false,true,true,false,false,true,52.08878974079875,4.3969487080385665,Spacious Studio close to The Hague/ Scheveningen,2,8,59,59,53,nightly,63,Gehele gastsuite,Gehele woning/appartement,entire_home,Gehele gastsuite,0,111706391
1,1,1,Rotterdam,EUR,18520178,false,true,false,false,false,false,51.88951009559162,4.507210256085469,New 2017 All-in Appartement #1 in a nice Centre,2,20,51,51,1,nightly,39,Privékamer in appartement,Privékamer,private_room,Privékamer,0,128557040
2,1,2,Rotterdam,EUR,20648401,false,true,true,false,false,true,51.92117550034992,4.489554869702903,Iconic Cube House Tree Room,3,8,60,60,2,nightly,2,Privékamer in woning,Privékamer,private_room,Privékamer,0,3490547
1,1,1,Barendrecht,EUR,5882219,false,true,true,false,false,true,51.85103428996847,4.550592420824738,In 10 minuten in centrum Rotterdam.,2,17,59,59,3,nightly,46,Gehele bed & breakfast,Gehele woning/appartement,entire_home,Gehele bed & breakfast,0,30158667
0.5,1,1,Den Haag,EUR,17772416,false,true,true,false,false,true,52.10400802227715,4.276238295895944,Scheveningen Beach appartement,2,14,55,55,1,nightly,46,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,103709922
1,1,1,Rotterdam,EUR,28422135,false,true,false,true,false,false,51.92184112400365,4.485294801668036,Kamer te huur in binnnestad Rotterdam,1,10,55,55,1,nightly,1,Privékamer in appartement,Privékamer,private_room,Privékamer,0,214571265
1,2,2,Voorburg,EUR,27359901,false,true,true,false,false,false,52.06666814727699,4.362653534862613,Voorburg Appartement,4,16,59,59,1,nightly,5,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,206179719
1,1,2,Rijswijk,EUR,23444225,false,true,false,false,false,false,52.05888915262699,4.34119588179205,"Beautiful Dutch Apartment, 10 min.to city centre.",2,18,60,60,1,nightly,44,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,37009964
1,1,1,Den Haag,EUR,4692892,false,true,true,false,false,true,52.085137850836055,4.289650783554758,Spacious loft in historic mansion,1,17,60,60,2,nightly,77,Gehele woning,Gehele woning/appartement,entire_home,Gehele woning,0,15969204
1,2,2,Den Haag,EUR,12515828,false,true,false,false,false,false,52.078673762176344,4.308670238845385,Geweldig loft appartement centrum,4,19,60,60,35,nightly,125,Geheel loft,Gehele woning/appartement,entire_home,Geheel loft,0,67782105
1,1,1,Den Haag,EUR,27044144,false,true,true,false,false,false,52.096086151175385,4.3670185185476225,Den Haag The Whole House,2,8,53,53,2,nightly,7,Gehele woning,Gehele woning/appartement,entire_home,Gehele woning,0,108851013
1,1,1,Rotterdam,EUR,2264880,false,true,false,false,false,false,51.917225479155995,4.455833057252646,Rustige kamer 5 minuten vanaf CS,3,16,55,55,1,nightly,136,Privékamer in appartement,Privékamer,private_room,Privékamer,0,11566639
1,1,1,Rotterdam,EUR,22489276,false,true,true,false,false,false,51.93555645290243,4.471697284532911,Comfy & convenient private room near city center,2,8,55,55,1,nightly,11,Privékamer in appartement,Privékamer,private_room,Privékamer,0,5397799
1.5,1,1,Den Haag,EUR,8219599,false,true,false,false,false,false,52.080709076844265,4.321244025819629,Peaceful in City Center The Hague,1,19,54,54,1,nightly,62,Privékamer in appartement,Privékamer,private_room,Privékamer,0,17256210
1,1,1,Delft,EUR,16447593,false,true,false,false,false,false,52.01463348985075,4.354340545365253,"Delft,  gezellig appartement in historich centrum",2,9,55,55,1,nightly,65,Privékamer in appartement,Privékamer,private_room,Privékamer,0,104608050
1,1,1,Rotterdam,EUR,20547652,false,true,false,false,false,false,51.918934825677965,4.476368185172706,Nice room in city center,1,17,60,60,1,nightly,2,Privékamer in appartement,Privékamer,private_room,Privékamer,0,7609028
1,1,1,Rotterdam,EUR,22772158,false,true,true,false,false,true,51.91894765557809,4.456770923458195,Rotterdam Manhattan Room,2,14,60,60,3,nightly,21,Privékamer in bed & breakfast,Privékamer,private_room,Privékamer,0,14041556
1,2,2,Rotterdam,EUR,27281367,false,true,false,false,false,false,51.92176810289924,4.508286671415845,Apartment 10 min to center of Rotterdam,4,15,60,60,1,nightly,3,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,121432644
1,1,1,Den Haag,EUR,16971897,false,true,true,false,false,true,52.083783397514296,4.257850353756346,Private garden cottage near beach and city centre,2,22,59,59,40,nightly,71,Geheel pension,Gehele woning/appartement,entire_home,Geheel pension,0,8003211
1,2,4,Vlist,EUR,2995242,false,true,true,false,false,true,51.97887729730944,4.816157842109963,Countryside B&B nice old farmhouse,4,21,60,60,3,nightly,36,Privékamer in bed & breakfast,Privékamer,private_room,Privékamer,0,15268227
1,2,4,Hoogvliet Rotterdam,EUR,16875913,false,true,false,false,false,false,51.866961018438886,4.383052941755576,Rotterdam,6,15,60,60,1,nightly,35,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,74009812
1,1,1,Den Haag,EUR,18423947,false,true,false,false,false,false,52.08626413976402,4.33669756067742,Spacious room with garden next to the city center,2,14,55,55,1,nightly,49,Privékamer in appartement,Privékamer,private_room,Privékamer,0,3739386
1,2,2,Wassenaar,EUR,6634165,false,true,false,false,false,false,52.14016675978685,4.387871999607684,Genieten van de zee en de natuur,3,20,55,55,2,nightly,132,Privékamer in woning,Privékamer,private_room,Privékamer,0,30648980
1,0,1,Rotterdam,EUR,20211517,false,true,false,false,false,false,51.887753013593766,4.506554452358344,New 2017 All-In Appartement #4 in a nice Centre,2,6,51,51,1,nightly,8,Privékamer in appartement,Privékamer,private_room,Privékamer,0,128557040
1,0,1,Den Haag,EUR,25975792,false,true,false,false,false,false,52.06616428919897,4.317067647519685,Private Modern Studio In The Hague,5,10,56,56,1,nightly,23,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,129865307
1,1,1,Rotterdam,EUR,14073310,false,true,true,false,false,false,51.92307082908986,4.4898919726175635,Lovely apartment in downtown Rotterdam!,2,11,60,60,1,nightly,23,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,71281278
1,1,1,Den Haag,EUR,13808063,false,true,true,false,false,true,52.07970086921355,4.3383682410913575,Appartement met tuin dichtbij het centrum en WTC,2,28,58,58,1,nightly,78,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,55895024
1,1,4,Delft,EUR,10826500,false,true,false,false,false,false,52.00703391144621,4.354004707357675,"Cosy, central apartment with sunny garden",4,11,56,56,1,nightly,36,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,51745717
1,1,1,Den Haag,EUR,8203608,false,true,true,false,false,true,52.066221630058465,4.253784238764227,"Bright, modern & cosy apartment near sea & centre!",2,18,58,58,1,nightly,94,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,42401683
