gwb_code_10;gwb_code_8;regio;gm_naam;recs;gwb_code;ind_wbi;a_inw;a_man;a_vrouw;a_00_14;a_15_24;a_25_44;a_45_64;a_65_oo;a_ongeh;a_gehuwd;a_gesch;a_verwed;a_w_all;a_nw_all;a_marok;a_antaru;a_suri;a_tur;a_ov_nw;a_geb;p_geb;a_ste;p_ste;a_hh;a_1p_hh;a_hh_z_k;a_hh_m_k;g_hhgro;bev_dich;a_woning;g_woz;p_1gezw;p_mgezw;p_bewndw;p_leegsw;p_koopw;p_huurw;p_wcorpw;p_ov_hw;p_e_o_w;p_bjj2k;p_bjo2k;g_ele;g_ele_ap;g_ele_tw;g_ele_hw;g_ele_2w;g_ele_vw;g_ele_hu;g_ele_ko;g_gas;g_gas_ap;g_gas_tw;g_gas_hw;g_gas_2w;g_gas_vw;g_gas_hu;g_gas_ko;p_stadsv;a_inkont;g_ink_po;g_ink_pi;p_ink_li;p_ink_hi;p_n_act;p_hh_li;p_hh_hi;p_hh_lkk;p_hh_osm;a_soz_wb;a_soz_ao;a_soz_ww;a_soz_ow;g_wodief;g_vernoo;g_gewsek;a_bedv;a_bed_a;a_bed_bf;a_bed_gi;a_bed_hj;a_bed_kl;a_bed_mn;a_bed_ru;a_pau;a_bst_b;a_bst_nb;g_pau_hh;g_pau_km;a_m2w;g_afs_hp;g_afs_gs;g_afs_kv;g_afs_sc;g_3km_sc;a_opp_ha;a_lan_ha;a_wat_ha;pst_mvp;pst_dekp;ste_mvs;ste_oad
BU05991079;05991079;Kop van Zuid - Entrepot;Rotterdam;Buurt;BU05991079;3;7960;3930;4030;1510;830;2545;2110;970;4490;2395;865;220;1055;4175;1020;320;775;870;1190;.;.;.;.;3855;1675;905;1285;2,1;13609;3677;.;8;92;.;.;.;.;.;.;.;77;23;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2380;1930;450;0,6;4070;135;.;.;.;.;.;67;59;9;3071;1;1;4579
BU05991080;05991080;Vreewijk;Rotterdam;Buurt;BU05991080;1;14050;6690;7355;2160;1570;3365;4145;2815;7240;4125;1855;835;1430;4890;855;725;1165;770;1370;.;.;.;.;7155;3340;1595;2225;1,9;6875;7047;.;68;32;.;.;.;.;.;.;.;96;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4490;3905;585;0,6;2197;255;.;.;.;.;.;207;204;3;3075;1;1;4047
BU05991081;05991081;Bloemhof;Rotterdam;Buurt;BU05991081;1;14030;7110;6920;2700;2160;4410;3345;1420;8180;4050;1395;410;1745;9045;1585;800;1425;3390;1840;.;.;.;.;6580;2930;1265;2395;2,1;18067;6244;.;34;66;.;.;.;.;.;.;.;96;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3640;3000;640;0,6;4685;120;.;.;.;.;.;79;78;1;3073;1;1;6241
BU05991082;05991082;Hillesluis;Rotterdam;Buurt;BU05991082;1;11910;6035;5875;2420;1840;3970;2655;1025;6835;3600;1180;300;1285;8640;1750;585;1280;3365;1655;.;.;.;.;5355;2370;980;2015;2,2;13276;5171;.;8;92;.;.;.;.;.;.;.;90;10;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3205;2535;670;0,6;3573;115;.;.;.;.;.;90;90;1;3074;1;1;4745
BU05991085;05991085;Katendrecht;Rotterdam;Buurt;BU05991085;1;4795;2360;2435;990;485;1435;1270;620;2725;1415;485;170;455;2155;385;270;440;175;880;.;.;.;.;2275;975;500;805;2,1;8682;2210;.;15;85;.;.;.;.;.;.;.;63;37;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1425;1185;240;0,6;2579;75;.;.;.;.;.;118;55;63;3072;1;1;3223
BU05991086;05991086;Afrikaanderwijk;Rotterdam;Buurt;BU05991086;3;8715;4315;4395;1560;1385;2440;2205;1130;4705;2695;980;340;605;6845;1375;435;1075;2530;1430;.;.;.;.;3925;1760;675;1500;2,2;14058;3673;.;5;95;.;.;.;.;.;.;.;79;21;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1895;1500;400;0,5;3059;50;.;.;.;.;.;62;62;0;3072;1;1;5363
BU05991087;05991087;Feijenoord;Rotterdam;Buurt;BU05991087;1;7490;3660;3830;1595;1080;2105;1810;900;4370;2055;860;205;535;5700;1330;430;860;1855;1230;.;.;.;.;3340;1460;500;1385;2,2;11870;3249;.;4;96;.;.;.;.;.;.;.;92;8;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1700;1370;330;0,5;2693;40;.;.;.;.;.;100;63;37;3071;1;1;3964
BU05991088;05991088;Noordereiland;Rotterdam;Buurt;BU05991088;1;3355;1660;1695;380;375;1190;905;510;2070;800;340;150;485;970;160;60;185;210;350;.;.;.;.;1990;1115;470;415;1,7;13626;1905;.;2;98;.;.;.;.;.;.;.;87;13;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1215;1030;185;0,6;4937;90;.;.;.;.;.;67;25;42;3071;1;1;4609
WK059912;059912;IJsselmonde;Rotterdam;Wijk;WK059912;1;60140;29070;31070;10655;7015;16415;15425;10635;31005;19180;6450;3510;6145;24325;2765;3855;6265;4130;7305;.;.;.;.;28530;12350;6430;9760;2,1;5102;28809;.;36;64;.;.;.;.;.;.;.;91;9;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;21340;18425;2920;0,7;1811;1310;.;.;.;.;.;1309;1179;130;.;.;1;2554
BU05991283;05991283;Oud IJsselmonde;Rotterdam;Buurt;BU05991283;1;5720;2940;2780;800;605;1590;1885;840;2675;2465;425;160;635;1560;155;155;505;220;520;.;.;.;.;2695;955;900;845;2,1;2917;2750;.;42;58;.;.;.;.;.;.;.;76;24;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2810;2325;485;1,0;1432;225;.;.;.;.;.;315;196;119;3077;1;2;1679
BU05991284;05991284;Lombardijen;Rotterdam;Buurt;BU05991284;1;13900;6875;7020;2565;1625;3975;3330;2405;7485;3940;1680;800;1535;6350;960;900;1180;1395;1910;.;.;.;.;6885;3340;1340;2215;2,0;5325;6932;.;26;74;.;.;.;.;.;.;.;94;6;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4495;3855;640;0,7;1722;240;.;.;.;.;.;263;261;1;3076;1;1;2591
BU05991289;05991289;Groot IJsselmonde;Rotterdam;Buurt;BU05991289;1;28450;13385;15065;4780;3110;7540;6840;6185;14070;9120;3060;2205;2805;10230;1205;1705;2345;1930;3040;.;.;.;.;13895;6310;3195;4395;2,0;4966;14234;.;33;67;.;.;.;.;.;.;.;89;11;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;10020;8735;1285;0,7;1749;600;.;.;.;.;.;580;573;7;3079;5;1;2713
BU05991290;05991290;Beverwaard;Rotterdam;Buurt;BU05991290;1;12060;5860;6200;2515;1670;3310;3370;1205;6775;3660;1290;345;1165;6185;445;1090;2230;585;1835;.;.;.;.;5050;1750;1000;2310;2,3;8122;4893;.;54;46;.;.;.;.;.;.;.;100;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4020;3510;510;0,8;2706;245;.;.;.;.;.;151;149;3;3077;1;1;2544
WK059913;059913;Pernis;Rotterdam;Wijk;WK059913;1;4845;2420;2420;740;530;1225;1455;900;2245;1960;385;255;445;465;30;95;140;35;165;.;.;.;.;2220;735;700;790;2,2;3069;2215;.;85;15;.;.;.;.;.;.;.;85;15;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2250;2030;220;1,0;1426;250;.;.;.;.;.;162;158;4;.;.;4;732
BU05991391;05991391;Pernis;Rotterdam;Buurt;BU05991391;1;4845;2420;2420;740;530;1225;1455;900;2245;1960;385;255;445;465;30;95;140;35;165;.;.;.;.;2220;735;700;790;2,2;3069;2215;.;85;15;.;.;.;.;.;.;.;85;15;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2250;2030;220;1,0;1426;250;.;.;.;.;.;162;158;4;3195;1;4;732
WK059914;059914;Prins Alexander;Rotterdam;Wijk;WK059914;1;95445;45610;49835;15470;10560;22665;26795;19960;45890;34145;9900;5515;9605;24550;2420;2325;8340;2305;9160;.;.;.;.;45840;19340;11210;15300;2,1;5491;45605;.;41;59;.;.;.;.;.;.;.;86;14;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;37110;32365;4745;0,8;2135;2075;.;.;.;.;.;1860;1738;122;.;.;1;2679
BU05991444;05991444;'s Gravenland;Rotterdam;Buurt;BU05991444;1;8270;4070;4195;1280;1325;1520;2895;1250;4015;3360;650;250;1040;1695;160;145;535;195;665;.;.;.;.;3510;1005;1030;1480;2,4;3979;3393;.;67;33;.;.;.;.;.;.;.;94;6;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3705;3145;560;1,1;1783;170;.;.;.;.;.;223;208;16;3065;1;2;1962
BU05991446;05991446;Kralingseveer;Rotterdam;Buurt;BU05991446;1;1630;835;790;270;205;455;500;205;820;630;110;75;130;215;10;35;50;25;90;.;.;.;.;725;260;195;280;2,2;3182;736;.;86;14;.;.;.;.;.;.;.;100;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;680;610;65;0,9;1322;70;.;.;.;.;.;64;51;13;3064;1;3;1424
BU05991448;05991448;Prinsenland;Rotterdam;Buurt;BU05991448;1;9905;4805;5100;1260;940;2065;3245;2400;4400;3680;1175;655;960;2550;240;225;835;300;940;.;.;.;.;5150;2375;1325;1455;1,9;5767;5154;.;34;66;.;.;.;.;.;.;.;94;6;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4010;3525;480;0,8;2333;185;.;.;.;.;.;180;172;8;3066;1;1;2892
BU05991449;05991449;Het Lage Land;Rotterdam;Buurt;BU05991449;1;10855;5050;5805;1390;1490;2905;2570;2500;5600;3170;1295;795;1315;2925;255;280;795;315;1280;.;.;.;.;6055;3315;1335;1415;1,8;5083;5875;.;19;81;.;.;.;.;.;.;.;91;9;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4170;3615;560;0,7;1953;240;.;.;.;.;.;216;214;3;3067;1;1;3249
BU05991463;05991463;Ommoord;Rotterdam;Buurt;BU05991463;1;25560;11820;13735;3555;2380;5370;6515;7745;10840;9680;2830;2215;2425;5325;625;520;1505;425;2245;.;.;.;.;13040;5890;3485;3670;1,9;5878;13127;.;37;63;.;.;.;.;.;.;.;96;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;9740;8670;1070;0,7;2240;535;.;.;.;.;.;448;435;13;3068;5;1;2894
BU05991466;05991466;Zevenkamp;Rotterdam;Buurt;BU05991466;1;16040;7755;8280;2705;1880;4040;4865;2555;8185;5355;1810;695;1580;5350;500;600;2145;460;1645;.;.;.;.;7335;2840;1655;2850;2,1;7632;7293;.;51;49;.;.;.;.;.;.;.;98;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5840;5110;730;0,8;2780;350;.;.;.;.;.;216;210;6;3068;5;2;2479
BU05991467;05991467;Oosterflank;Rotterdam;Buurt;BU05991467;1;10545;4970;5570;1490;1125;2660;3125;2140;5350;3325;1315;565;1105;3800;420;325;1395;350;1310;.;.;.;.;5545;2755;1170;1630;1,9;6541;5586;.;27;73;.;.;.;.;.;.;.;95;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3795;3355;440;0,7;2354;185;.;.;.;.;.;163;161;2;3067;1;1;3341
