gwb_code_10;gwb_code_8;regio;gm_naam;recs;gwb_code;ind_wbi;a_inw;a_man;a_vrouw;a_00_14;a_15_24;a_25_44;a_45_64;a_65_oo;a_ongeh;a_gehuwd;a_gesch;a_verwed;a_w_all;a_nw_all;a_marok;a_antaru;a_suri;a_tur;a_ov_nw;a_geb;p_geb;a_ste;p_ste;a_hh;a_1p_hh;a_hh_z_k;a_hh_m_k;g_hhgro;bev_dich;a_woning;g_woz;p_1gezw;p_mgezw;p_bewndw;p_leegsw;p_koopw;p_huurw;p_wcorpw;p_ov_hw;p_e_o_w;p_bjj2k;p_bjo2k;g_ele;g_ele_ap;g_ele_tw;g_ele_hw;g_ele_2w;g_ele_vw;g_ele_hu;g_ele_ko;g_gas;g_gas_ap;g_gas_tw;g_gas_hw;g_gas_2w;g_gas_vw;g_gas_hu;g_gas_ko;p_stadsv;a_inkont;g_ink_po;g_ink_pi;p_ink_li;p_ink_hi;p_n_act;p_hh_li;p_hh_hi;p_hh_lkk;p_hh_osm;a_soz_wb;a_soz_ao;a_soz_ww;a_soz_ow;g_wodief;g_vernoo;g_gewsek;a_bedv;a_bed_a;a_bed_bf;a_bed_gi;a_bed_hj;a_bed_kl;a_bed_mn;a_bed_ru;a_pau;a_bst_b;a_bst_nb;g_pau_hh;g_pau_km;a_m2w;g_afs_hp;g_afs_gs;g_afs_kv;g_afs_sc;g_3km_sc;a_opp_ha;a_lan_ha;a_wat_ha;pst_mvp;pst_dekp;ste_mvs;ste_oad
BU05991853;05991853;Spaanse Polder;Rotterdam;Buurt;BU05991853;1;105;55;50;10;5;35;35;20;50;40;15;5;15;10;0;0;5;0;5;.;.;.;.;55;30;15;15;1,9;59;32;.;50;50;.;.;.;.;.;.;.;100;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1365;630;735;.;.;50;.;.;.;.;.;204;184;20;3044;1;3;1478
WK059919;059919;Nieuw Mathenesse;Rotterdam;Wijk;WK059919;1;15;15;0;0;0;5;5;5;5;0;10;0;0;5;0;0;0;5;0;.;.;.;.;15;20;0;0;1,0;13;7;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;185;85;100;.;.;0;.;.;.;.;.;207;123;84;.;.;1;2919
BU05991926;05991926;Nieuw Mathenesse;Rotterdam;Buurt;BU05991926;1;15;15;0;0;0;5;5;5;5;0;10;0;0;5;0;0;0;5;0;.;.;.;.;15;20;0;0;1,0;13;7;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;185;85;100;.;.;0;.;.;.;.;.;207;123;84;3029;1;1;2919
WK059921;059921;Waalhaven-Eemhaven;Rotterdam;Wijk;WK059921;1;35;20;15;5;5;15;15;5;25;15;0;0;5;0;0;0;0;0;0;.;.;.;.;25;20;5;5;1,5;4;38;.;32;68;.;.;.;.;.;.;.;100;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;805;350;455;.;.;10;.;.;.;.;.;1501;903;598;.;.;4;624
BU05992194;05992194;Waalhaven;Rotterdam;Buurt;BU05992194;1;5;0;0;0;0;0;5;0;5;5;0;0;0;0;0;0;0;0;0;.;.;.;.;0;5;0;5;2,0;.;16;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;230;90;140;.;.;5;.;.;.;.;.;628;267;361;3087;4;3;1091
BU05992196;05992196;Eemhaven;Rotterdam;Buurt;BU05992196;1;15;5;10;0;0;5;5;5;10;10;0;0;0;0;0;0;0;0;0;.;.;.;.;10;5;5;5;1,7;4;8;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;135;70;70;.;.;5;.;.;.;.;.;681;445;236;3089;3;5;344
BU05992198;05992198;Waalhaven Zuid;Rotterdam;Buurt;BU05992198;1;10;10;0;0;5;5;5;0;10;5;0;0;0;0;0;0;0;0;0;.;.;.;.;10;15;5;0;1,1;7;14;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;435;190;245;.;.;0;.;.;.;.;.;191;191;1;3088;1;5;353
WK059922;059922;Vondelingenplaat;Rotterdam;Wijk;WK059922;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;.;.;.;0;0;0;0;.;.;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;35;10;25;.;.;0;.;.;.;.;.;951;722;229;.;.;5;215
BU05992295;05992295;Vondelingenplaat;Rotterdam;Buurt;BU05992295;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;.;.;.;0;0;0;0;.;.;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;35;10;25;.;.;0;.;.;.;.;.;951;722;229;3196;2;5;215
WK059923;059923;Botlek-Europoort-Maasvlakte;Rotterdam;Wijk;WK059923;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;.;.;.;.;0;0;5;0;2,0;.;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;305;120;185;.;.;5;.;.;.;.;.;11560;6736;4823;.;.;5;57
